Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Iron Meteorite (aka Kingpin)","The Iron Meteorite (aka Kingpin Boulder) > King Dome Area > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108085516/iron-meteorite-aka-kingpin,3.9,-1,Boulder,"V5 PG13",1,22,34.00242,-116.14971
"Igneous Ambiance","Igneous Boulder > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108854273/igneous-ambiance,3.1,-1,Boulder,V7,1,8,34.02588,-116.1595
"Mulligan Variation","Igneous Boulder > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106662629/mulligan-variation,3.0,-1,Boulder,V8-,1,12,34.02588,-116.1595
"Classic Thin Crack","Classic Thin Crack Boulder > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106069406/classic-thin-crack,3.1,-1,Boulder,V2,1,15,34.02534,-116.15881
"Coyote Corner","Coyote Corner > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106693819/coyote-corner,3.3,-1,Boulder,"V1 R",1,33,34.02521,-116.16083
Monkeyflower,"Land of the Lost Boulder > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108716729/monkeyflower,2.8,-1,Boulder,V3,1,12,34.0261,-116.15844
"Chorizo Tacos","Land of the Lost Boulder > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108017981/chorizo-tacos,2.9,-1,Boulder,V4,1,12,34.0261,-116.15844
"Master Cylinder","Master Cylinder > Echo Rock Boulders > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/111808964/master-cylinder,3.9,-1,Boulder,V5,1,18,34.02594,-116.15522
"Spicy T","Spicy T Boulder > Western Wilderness Boulders > Indian Cove CG > Indian Cove Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/118251810/spicy-t,3.0,-1,Boulder,"V0 PG13",1,15,34.09261,-116.17444
Bodyglove,"Porcelain Wall > Inner Circle > The Underground > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106151249/bodyglove,3.6,-1,Boulder,V4,1,15,34.06942,-116.09196
"Body and Soul","Porcelain Wall > Inner Circle > The Underground > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106152051/body-and-soul,3.6,-1,Boulder,V5,1,15,34.06942,-116.09196
"Nicole Face","Feature Boulder (aka Fred Nicole Boulder) > Inner Circle > The Underground > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106151277/nicole-face,3.7,-1,Boulder,V3-4,1,18,34.06942,-116.09196
"Dark Matter","Eclipse Boulder > Inner Circle > The Underground > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106152798/dark-matter,3.5,-1,Boulder,V10,1,15,34.06942,-116.09196
"Roasted and Raw","Moonstone > Inner Circle > The Underground > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108056142/roasted-and-raw,4.0,-1,Boulder,V12,1,16,34.06942,-116.09196
"Tinkerbell's Anus","Mullet Bloc > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106643980/tinkerbells-anus,3.0,-1,Boulder,V2,1,12,34.0441,-116.1061
"Lox O' Kourndoggs","Lox Boulder > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/116483086/lox-o-kourndoggs,3.0,-1,Boulder,V3,1,,34.0441,-116.1061
Habanero,"The Habanero > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106686368/habanero,3.0,-1,Boulder,V4,1,14,34.04621,-116.10331
"Kentucky Fried Christ","The Watchtower > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/109964898/kentucky-fried-christ,3.5,-1,Boulder,V2,1,25,34.0538,-116.1042
"The Inquisition","Inquisition Bloc > Lonesome Crowded West > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106801960/the-inquisition,3.9,-1,Boulder,V6,1,20,34.033,-116.1721
"EJ Deluxe Escape","E. J.  Deluxe Boulder > Lonesome Crowded West > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108757305/ej-deluxe-escape,3.0,-1,Boulder,V3,1,14,34.033,-116.1721
"EJ Deluxe","E. J.  Deluxe Boulder > Lonesome Crowded West > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106835225/ej-deluxe,3.5,-1,Boulder,V5,1,18,34.033,-116.1721
"Feeling Lucky","Lucky Boy Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/114010940/feeling-lucky,3.0,-1,Boulder,V3,1,12,34.01823,-116.0737
"Mr Nice","Lucky Boy Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/114117341/mr-nice,3.0,-1,Boulder,V4,1,10,34.01823,-116.0737
"Double Entendre","Lucky Boy Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/114010825/double-entendre,3.0,-1,Boulder,V6,1,12,34.01823,-116.0737
"Animal Crackers","Boyscout Trailhead Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/118896689/animal-crackers,3.0,-1,Boulder,V5-6,1,10,34.0403,-116.18632
